Date,Open,High,Low,Close,Adj Close,Volume
16-May-25,13.7,13.97,13.56,13.92,13.92,56414100
15-May-25,13.91,13.95,13.33,13.57,13.57,66129800
14-May-25,14.44,14.78,13.94,14.03,14.03,77903700
13-May-25,14.24,14.46,14.05,14.29,14.29,70382900
12-May-25,14.04,14.2,13.68,14.04,14.04,74278200
09-May-25,13.3,13.47,12.87,13.18,13.18,53262000
08-May-25,13.32,13.47,13.1,13.26,13.26,52579800
07-May-25,12.7,13.28,12.56,13.01,13.01,51029800
06-May-25,12.57,12.83,12.44,12.73,12.73,40465200
05-May-25,12.48,13.05,12.43,12.86,12.86,51937900
02-May-25,12.69,12.93,12.58,12.7,12.7,50789300
01-May-25,12.84,12.92,12.46,12.51,12.51,70285300
30-Apr-25,12.78,12.82,12.05,12.51,12.51,86413300
29-Apr-25,14.13,14.51,13.23,13.27,13.27,171099300
28-Apr-25,13.24,13.38,12.77,13.2,13.2,95228400
25-Apr-25,12.5,13.05,12.4,12.88,12.88,70647900
24-Apr-25,11.8,12.36,11.76,12.31,12.31,61837700
23-Apr-25,12.02,12.35,11.64,11.74,11.74,56643400
22-Apr-25,10.87,11.43,10.81,11.27,11.27,52908900
21-Apr-25,10.93,11.15,10.49,10.69,10.69,54164900
17-Apr-25,10.68,11.05,10.59,10.98,10.98,46861000
16-Apr-25,10.72,10.9,10.41,10.66,10.66,39224300
15-Apr-25,10.82,11.05,10.72,10.94,10.94,38606000
14-Apr-25,11.12,11.2,10.51,10.82,10.82,47271800
11-Apr-25,10.48,10.73,10.07,10.71,10.71,42788100
10-Apr-25,10.94,11.01,10.16,10.52,10.52,55996900
09-Apr-25,9.4,11.65,9.31,11.39,11.39,94205900
08-Apr-25,10.49,10.58,9.24,9.5,9.5,67136200
07-Apr-25,8.74,10.65,8.6,9.86,9.86,92561300
04-Apr-25,9.98,10.22,8.88,9.57,9.57,89686000
03-Apr-25,11.14,11.42,10.56,10.64,10.64,73382300
02-Apr-25,11.55,12.5,11.55,12.31,12.31,55622200
01-Apr-25,11.59,12.16,11.48,11.91,11.91,48664100
31-Mar-25,11.31,11.74,10.98,11.63,11.63,62839200
28-Mar-25,12.02,12.24,11.69,11.85,11.85,51302400
27-Mar-25,12.61,12.7,12.03,12.2,12.2,58870900
26-Mar-25,13.53,13.55,12.93,13.07,13.07,48480600
25-Mar-25,13.73,13.9,13.44,13.54,13.54,35685500
24-Mar-25,13.3,13.76,13.14,13.72,13.72,58817600
21-Mar-25,12.41,12.91,12.37,12.87,12.87,40043900
20-Mar-25,12.64,12.94,12.49,12.64,12.64,40485900
19-Mar-25,12,12.91,11.96,12.73,12.73,46771900
18-Mar-25,12.1,12.14,11.79,11.95,11.95,36336100
17-Mar-25,12.08,12.47,11.96,12.32,12.32,45612600
14-Mar-25,11.69,12.12,11.61,12.09,12.09,37484500
13-Mar-25,12,12.09,11.31,11.39,11.39,38157700
12-Mar-25,11.86,12.12,11.44,11.92,11.92,54143700
11-Mar-25,11.06,11.5,10.85,11.26,11.26,54907900
10-Mar-25,12.07,12.17,10.93,11.18,11.18,71705200
07-Mar-25,12.32,12.64,11.82,12.59,12.59,52630300
06-Mar-25,13,13.25,12.41,12.45,12.45,49835800
05-Mar-25,13.12,13.49,12.84,13.43,13.43,41038000
04-Mar-25,13,13.57,12.23,13.09,13.09,77982800
03-Mar-25,14.65,14.9,13.44,13.57,13.57,58992200
28-Feb-25,13.8,14.54,13.73,14.47,14.47,38926400
27-Feb-25,14.73,14.74,14,14.07,14.07,41470300
26-Feb-25,14.18,14.73,14.14,14.47,14.47,51329600
