Open,High,Low,Close,Volume,MA_10,MA_30,Lag_1,Lag_2,Return,Volatility_10
13.7,13.97,13.56,13.92,56414100.0,,,,,,
13.91,13.95,13.33,13.57,66129800.0,,,13.92,,-0.025143678160919558,
14.44,14.78,13.94,14.03,77903700.0,,,13.57,13.92,0.03389830508474567,
14.24,14.46,14.05,14.29,70382900.0,,,14.03,13.57,0.018531717747683585,
14.04,14.2,13.68,14.04,74278200.0,,,14.29,14.03,-0.017494751574527623,
13.3,13.47,12.87,13.18,53262000.0,,,14.04,14.29,-0.061253561253561184,
13.32,13.47,13.1,13.26,52579800.0,,,13.18,14.04,0.006069802731411222,
12.7,13.28,12.56,13.01,51029800.0,,,13.26,13.18,-0.018853695324283604,
12.57,12.83,12.44,12.73,40465200.0,,,13.01,13.26,-0.021521906225979937,
12.48,13.05,12.43,12.86,51937900.0,13.488999999999999,,12.73,13.01,0.01021209740769824,0.5557067572020348
12.69,12.93,12.58,12.7,50789300.0,13.366999999999999,,12.86,12.73,-0.01244167962674958,0.5837817324232689
12.84,12.92,12.46,12.51,70285300.0,13.261000000000001,,12.7,12.86,-0.014960629921259794,0.6366657940657218
12.78,12.82,12.05,12.51,86413300.0,13.109,,12.51,12.7,0.0,0.613703692527775
14.13,14.51,13.23,13.27,171099300.0,13.007,,12.51,12.51,0.0607513988808952,0.461496358478475
13.24,13.38,12.77,13.2,95228400.0,12.922999999999998,,13.27,12.51,-0.005275056518462717,0.3011846978553639
12.5,13.05,12.4,12.88,70647900.0,12.893,,13.2,13.27,-0.024242424242424176,0.28736542744194804
11.8,12.36,11.76,12.31,61837700.0,12.798,,12.88,13.2,-0.04425465838509324,0.30878975227671557
12.02,12.35,11.64,11.74,56643400.0,12.671,,12.31,12.88,-0.04630381803411865,0.44363273098364137
10.87,11.43,10.81,11.27,52908900.0,12.525,,11.74,12.31,-0.04003407155025562,0.6251622011748482
10.93,11.15,10.49,10.69,54164900.0,12.308,,11.27,11.74,-0.051464063886424105,0.8367636066018505
10.68,11.05,10.59,10.98,46861000.0,12.136,,10.69,11.27,0.027128157156220745,0.9198816348977866
10.72,10.9,10.41,10.66,39224300.0,11.951,,10.98,10.69,-0.029143897996357082,1.0171905753921773
10.82,11.05,10.72,10.94,38606000.0,11.794,,10.66,10.98,0.026266416510318802,1.042179340506124
11.12,11.2,10.51,10.82,47271800.0,11.549,,10.94,10.66,-0.010968921389396646,0.9395678675741199
10.48,10.73,10.07,10.71,42788100.0,11.3,,10.82,10.94,-0.010166358595193992,0.767622592453118
10.94,11.01,10.16,10.52,55996900.0,11.064,,10.71,10.82,-0.017740429505135547,0.5635443391803553
9.4,11.65,9.31,11.39,94205900.0,10.972,,10.52,10.71,0.08269961977186324,0.3840370352510882
10.49,10.58,9.24,9.5,67136200.0,10.748000000000001,,11.39,10.52,-0.1659350307287094,0.5166731182392915
8.74,10.65,8.6,9.86,92561300.0,10.607,,9.5,11.39,0.0378947368421052,0.5497282156767227
9.98,10.22,8.88,9.57,89686000.0,10.495000000000001,12.097333333333333,9.86,9.5,-0.02941176470588225,0.6379524538187277
11.14,11.42,10.56,10.64,73382300.0,10.461,11.988,9.57,9.86,0.11180773249738762,0.6179796832331071
11.55,12.5,11.55,12.31,55622200.0,10.626,11.946,10.64,9.57,0.15695488721804507,0.8527107103558376
11.59,12.16,11.48,11.91,48664100.0,10.723,11.875333333333334,12.31,10.64,-0.03249390739236391,0.9428096308375309
11.31,11.74,10.98,11.63,62839200.0,10.804,11.786666666666667,11.91,12.31,-0.02350965575146935,0.9858803172799429
12.02,12.24,11.69,11.85,51302400.0,10.918000000000001,11.713666666666665,11.63,11.91,0.018916595012897552,1.0383191545313353
12.61,12.7,12.03,12.2,58870900.0,11.086,11.681000000000001,11.85,11.63,0.029535864978902815,1.1007997093022868
13.53,13.55,12.93,13.07,48480600.0,11.254000000000001,11.674666666666665,12.2,11.85,0.07131147540983607,1.2678696042311808
13.73,13.9,13.44,13.54,35685500.0,11.658,11.692333333333332,13.07,12.2,0.035960214231063325,1.2903298458576808
13.3,13.76,13.14,13.72,58817600.0,12.044,11.725333333333335,13.54,13.07,0.013293943870014813,1.2698923838919027
12.41,12.91,12.37,12.87,40043900.0,12.373999999999999,11.725666666666665,13.72,13.54,-0.06195335276967939,0.9419978768553524
12.64,12.94,12.49,12.64,40485900.0,12.574,11.723666666666668,12.87,13.72,-0.017871017871017747,0.7188138377447418
12.0,12.91,11.96,12.73,46771900.0,12.616000000000001,11.730999999999998,12.64,12.87,0.007120253164556889,0.7139281009550777
12.1,12.14,11.79,11.95,36336100.0,12.62,11.712333333333333,12.73,12.64,-0.061272584446190215,0.7096321425765382
12.08,12.47,11.96,12.32,45612600.0,12.689,11.680666666666667,11.95,12.73,0.030962343096234468,0.6319713425288902
11.69,12.12,11.61,12.09,37484500.0,12.713,11.643666666666666,12.32,11.95,-0.018668831168831224,0.6003341662033747
12.0,12.09,11.31,11.39,38157700.0,12.632000000000001,11.594,12.09,12.32,-0.057899090157154665,0.7199660485822238
11.86,12.12,11.44,11.92,54143700.0,12.517,11.581,11.39,12.09,0.04653204565408253,0.7339399006579274
11.06,11.5,10.85,11.26,54907900.0,12.289,11.565,11.92,11.39,-0.05536912751677858,0.7349746783242057
12.07,12.17,10.93,11.18,71705200.0,12.035,11.562000000000001,11.26,11.92,-0.007104795737122527,0.6145142616553094
12.32,12.64,11.82,12.59,52630300.0,12.007,11.625333333333336,11.18,11.26,0.1261180679785332,0.5775051707320158
13.0,13.25,12.41,12.45,49835800.0,11.988,11.674333333333333,12.59,11.18,-0.011119936457505974,0.5571315424166431
13.12,13.49,12.84,13.43,41038000.0,12.058,11.766666666666667,12.45,12.59,0.07871485943775114,0.6890702270289799
13.0,13.57,12.23,13.09,77982800.0,12.172,11.838333333333333,13.43,12.45,-0.025316455696202556,0.7598801075023413
14.65,14.9,13.44,13.57,58992200.0,12.297,11.93,13.09,13.43,0.036669213139801426,0.8802152514520983
13.8,14.54,13.73,14.47,38926400.0,12.535,12.055333333333333,13.57,13.09,0.06632277081798077,1.1098373254170544
14.73,14.74,14.0,14.07,41470300.0,12.803,12.173666666666666,14.47,13.57,-0.027643400138216978,1.1260851556511033
14.18,14.73,14.14,14.47,51329600.0,13.057999999999998,12.276333333333332,14.07,14.47,0.02842928216062557,1.1907775237680223
14.11,14.27,13.42,13.92,63198000.0,13.324000000000002,12.423666666666666,14.47,14.07,-0.038009675190048386,1.0308701825803894
14.8,14.82,13.81,14.36,52266100.0,13.642,12.573666666666666,13.92,14.47,0.031609195402298784,0.7475560179678793
15.56,15.56,14.58,14.67,54725300.0,13.85,12.743666666666666,14.36,13.92,0.021587743732590647,0.7107898579905418
16.01,16.08,15.06,15.56,51063600.0,14.161000000000001,12.907666666666668,14.67,14.36,0.06066802999318344,0.7105467378481584
16.76,16.81,16.1,16.18,35555700.0,14.436000000000002,13.036666666666667,15.56,14.67,0.03984575835475579,0.9024435962676215
16.47,17.11,16.43,16.83,53815000.0,14.809999999999999,13.200666666666669,16.18,15.56,0.04017305315203945,1.046178229982293
15.41,16.42,15.24,16.21,63312400.0,15.074000000000002,13.353333333333332,16.83,16.18,-0.03683897801544844,1.031495139214053
14.96,15.35,14.77,15.19,36477800.0,15.146,13.464666666666666,16.21,16.83,-0.06292412091301669,1.0095455523265007
